Sum of index,year,region_id,region,annual_humidity_avg
1,2012,1,Amazonas,81.06
10,2012,10,Huanuco,64.54740641
11,2012,11,Ica,70.35145833
12,2012,12,Junin,63.30335863
13,2012,13,La Libertad,87.37529687
14,2012,14,Lambayeque,80.6525
15,2012,15,Lima,85.69210184
16,2012,16,Loreto,85.42397737
17,2012,17,Madre de Dios,82.85291667
18,2012,18,Moquegua,60.9175
19,2012,19,Pasco,84.3097843
2,2012,2,Ancash,79.945
20,2012,20,Piura,70.39509734
21,2012,21,Puno,61.37
22,2012,22,San Martin,82.035
23,2012,23,Tacna,75.00833333
24,2012,24,Tumbes,85.02583333
25,2012,25,Ucayali,89.92324736
3,2012,3,Apurimac,86.58333333
4,2012,4,Arequipa,54.3075
5,2012,5,Ayacucho,73.05283511
6,2012,6,Cajamarca,64.92448651
7,2012,7,Callao,0
8,2012,8,Cusco,67.48016826
9,2012,9,Huancavelica,83.62109699
26,2013,1,Amazonas,87.445
35,2013,10,Huanuco,65.65
36,2013,11,Ica,67.815
37,2013,12,Junin,62.02416667
38,2013,13,La Libertad,91.99833333
39,2013,14,Lambayeque,82.37166667
40,2013,15,Lima,85.65166667
41,2013,16,Loreto,84.96166667
42,2013,17,Madre de Dios,84.84875
43,2013,18,Moquegua,62.17833333
44,2013,19,Pasco,85.57
27,2013,2,Ancash,76.82333333
45,2013,20,Piura,74.65791667
46,2013,21,Puno,64.28833333
47,2013,22,San Martin,82.17
48,2013,23,Tacna,75.70166667
49,2013,24,Tumbes,90.81833333
50,2013,25,Ucayali,88.49333333
28,2013,3,Apurimac,83.49416667
29,2013,4,Arequipa,50.555
30,2013,5,Ayacucho,77.16583333
31,2013,6,Cajamarca,64.03916667
32,2013,7,Callao,0
33,2013,8,Cusco,73.75916667
34,2013,9,Huancavelica,84.25916667
51,2014,1,Amazonas,82.86416667
60,2014,10,Huanuco,64.67
61,2014,11,Ica,73.6375
62,2014,12,Junin,59.08833333
63,2014,13,La Libertad,90.72583333
64,2014,14,Lambayeque,80.39
65,2014,15,Lima,87.37083333
66,2014,16,Loreto,83.56363636
67,2014,17,Madre de Dios,90.02833333
68,2014,18,Moquegua,63.40583333
69,2014,19,Pasco,85.43833333
52,2014,2,Ancash,78.48083333
70,2014,20,Piura,73.56909091
71,2014,21,Puno,64.68416667
72,2014,22,San Martin,83.425
73,2014,23,Tacna,78.08
74,2014,24,Tumbes,90.85333333
75,2014,25,Ucayali,89.885
53,2014,3,Apurimac,78.64285714
54,2014,4,Arequipa,48.51916667
55,2014,5,Ayacucho,76.93416667
56,2014,6,Cajamarca,62.82916667
57,2014,7,Callao,0
58,2014,8,Cusco,67.93083333
59,2014,9,Huancavelica,85.67
76,2015,1,Amazonas,80.53166667
85,2015,10,Huanuco,64.046
86,2015,11,Ica,73.09583333
87,2015,12,Junin,58.7575
88,2015,13,La Libertad,85.32333333
89,2015,14,Lambayeque,81.17416667
90,2015,15,Lima,85.63090909
91,2015,16,Loreto,91.63083333
92,2015,17,Madre de Dios,92.945
93,2015,18,Moquegua,65.468
94,2015,19,Pasco,86.00166667
77,2015,2,Ancash,76.17818182
95,2015,20,Piura,76.08090909
96,2015,21,Puno,67.7125
97,2015,22,San Martin,83.3775
98,2015,23,Tacna,79.61166667
99,2015,24,Tumbes,77.80090909
100,2015,25,Ucayali,88.37
78,2015,3,Apurimac,81.74416667
79,2015,4,Arequipa,48.34333333
80,2015,5,Ayacucho,79.12166667
81,2015,6,Cajamarca,62.88666667
82,2015,7,Callao,0
83,2015,8,Cusco,69.07166667
84,2015,9,Huancavelica,84.57583333
101,2016,1,Amazonas,77.7
110,2016,10,Huanuco,62.1
111,2016,11,Ica,67.5
112,2016,12,Junin,55.7
113,2016,13,La Libertad,84.9
114,2016,14,Lambayeque,81.9
115,2016,15,Lima,85.3
116,2016,16,Loreto,89.7
117,2016,17,Madre de Dios,92
118,2016,18,Moquegua,…
119,2016,19,Pasco,84.9
102,2016,2,Ancash,75
120,2016,20,Piura,71.9
121,2016,21,Puno,62.2
122,2016,22,San Martin,81.1
123,2016,23,Tacna,75.5
124,2016,24,Tumbes,79.3
125,2016,25,Ucayali,87.5
103,2016,3,Apurimac,80.2
104,2016,4,Arequipa,47
105,2016,5,Ayacucho,77.5
106,2016,6,Cajamarca,63.7
107,2016,7,Callao,0
108,2016,8,Cusco,64.2
109,2016,9,Huancavelica,83.6
126,2017,1,Amazonas,79.24666667
135,2017,10,Huanuco,64.63916667
136,2017,11,Ica,66.89166667
137,2017,12,Junin,57.62083333
138,2017,13,La Libertad,85.50272727
139,2017,14,Lambayeque,80.51833333
140,2017,15,Lima,86.16083333
141,2017,16,Loreto,89.03666667
142,2017,17,Madre de Dios,92.91083333
143,2017,18,Moquegua,…
144,2017,19,Pasco,84.6275
127,2017,2,Ancash,76.445
145,2017,20,Piura,72.73818182
146,2017,21,Puno,60.555
147,2017,22,San Martin,82.53166667
148,2017,23,Tacna,80.633
149,2017,24,Tumbes,85.792
150,2017,25,Ucayali,87.87416667
128,2017,3,Apurimac,80.66166667
129,2017,4,Arequipa,50.94833333
130,2017,5,Ayacucho,62.87333333
131,2017,6,Cajamarca,63.8425
132,2017,7,Callao,0
133,2017,8,Cusco,68.235
134,2017,9,Huancavelica,85.2075
151,2018,1,Amazonas,80.43333333
160,2018,10,Huanuco,66.39166667
161,2018,11,Ica,66.825
162,2018,12,Junin,59.33333333
163,2018,13,La Libertad,85.41666667
164,2018,14,Lambayeque,81.68333333
165,2018,15,Lima,87.275
166,2018,16,Loreto,89.5
167,2018,17,Madre de Dios,92.775
168,2018,18,Moquegua,73.55
169,2018,19,Pasco,82.26666667
152,2018,2,Ancash,73.85833333
170,2018,20,Piura,74.44166667
171,2018,21,Puno,61.575
172,2018,22,San Martin,83.69166667
173,2018,23,Tacna,83.4
174,2018,24,Tumbes,81.5
175,2018,25,Ucayali,87.71666667
153,2018,3,Apurimac,80.475
154,2018,4,Arequipa,48.34166667
155,2018,5,Ayacucho,63.46666667
156,2018,6,Cajamarca,61.95833333
157,2018,7,Callao,0
158,2018,8,Cusco,69.65833333
159,2018,9,Huancavelica,86.28333333
176,2019,1,Amazonas,80.83333333
185,2019,10,Huanuco,66.64166667
186,2019,11,Ica,69.69166667
187,2019,12,Junin,59.11818182
188,2019,13,La Libertad,85.88333333
189,2019,14,Lambayeque,80.98333333
190,2019,15,Lima,87.95
191,2019,16,Loreto,87.2
192,2019,17,Madre de Dios,91.35
193,2019,18,Moquegua,73.625
194,2019,19,Pasco,81.175
177,2019,2,Ancash,67.89166667
195,2019,20,Piura,74.275
196,2019,21,Puno,62.13333333
197,2019,22,San Martin,83.3
198,2019,23,Tacna,79.90833333
199,2019,24,Tumbes,81.20833333
200,2019,25,Ucayali,89.08333333
178,2019,3,Apurimac,76.44166667
179,2019,4,Arequipa,53.56666667
180,2019,5,Ayacucho,68.15
181,2019,6,Cajamarca,65.80833333
182,2019,7,Callao,0
183,2019,8,Cusco,72.44166667
184,2019,9,Huancavelica,86.15
201,2020,1,Amazonas,78.925
210,2020,10,Huanuco,64.03333333
211,2020,11,Ica,69.7
212,2020,12,Junin,58.775
213,2020,13,La Libertad,90.91111111
214,2020,14,Lambayeque,80.85555556
215,2020,15,Lima,a/
216,2020,16,Loreto,87.56666667
217,2020,17,Madre de Dios,89.69
218,2020,18,Moquegua,a/
219,2020,19,Pasco,a/
202,2020,2,Ancash,a/
220,2020,20,Piura,a/
221,2020,21,Puno,a/
222,2020,22,San Martin,a/
223,2020,23,Tacna,79.65555556
224,2020,24,Tumbes,a/
225,2020,25,Ucayali,a/
203,2020,3,Apurimac,a/
204,2020,4,Arequipa,a/
205,2020,5,Ayacucho,66.5
206,2020,6,Cajamarca,61.73333333
207,2020,7,Callao,0
208,2020,8,Cusco,69.9
209,2020,9,Huancavelica,85.71428571
226,2021,1,Amazonas,80.43333333
235,2021,10,Huanuco,64.31666667
236,2021,11,Ica,71.28
237,2021,12,Junin,59.68333333
238,2021,13,La Libertad,93.25
239,2021,14,Lambayeque,82.74166667
240,2021,15,Lima,83.5429631
241,2021,16,Loreto,85.35
242,2021,17,Madre de Dios,91.43636364
243,2021,18,Moquegua,a/
244,2021,19,Pasco,a/
227,2021,2,Ancash,65.36010199
245,2021,20,Piura,72.69166667
246,2021,21,Puno,55.30459452
247,2021,22,San Martin,81.75
248,2021,23,Tacna,87.15
249,2021,24,Tumbes,82.65833333
250,2021,25,Ucayali,86.65833333
228,2021,3,Apurimac,73.67188654
229,2021,4,Arequipa,51.05
230,2021,5,Ayacucho,63.33333333
231,2021,6,Cajamarca,65.28333333
232,2021,7,Callao,0
233,2021,8,Cusco,74.4
234,2021,9,Huancavelica,81.08333333
251,2022,1,Amazonas,79
260,2022,10,Huanuco,63
261,2022,11,Ica,69
262,2022,12,Junin,70
263,2022,13,La Libertad,95
264,2022,14,Lambayeque,81
265,2022,15,Lima,82
266,2022,16,Loreto,86
267,2022,17,Madre de Dios,92
268,2022,18,Moquegua,71
269,2022,19,Pasco,83
252,2022,2,Ancash,63
270,2022,20,Piura,71
271,2022,21,Puno,47
272,2022,22,San Martin,80
273,2022,23,Tacna,80
274,2022,24,Tumbes,87
275,2022,25,Ucayali,87
253,2022,3,Apurimac,76
254,2022,4,Arequipa,50
255,2022,5,Ayacucho,61
256,2022,6,Cajamarca,62
257,2022,7,Callao,0
258,2022,8,Cusco,73
259,2022,9,Huancavelica,87
