index,year,region_id,region,annual_temperature_celsius
1,2012,1,Amazonas,14.70333333
2,2012,2,Ancash,12.395
3,2012,3,Apurimac,14.00481481
4,2012,4,Arequipa,15.55083333
5,2012,5,Ayacucho,18.04833127
6,2012,6,Cajamarca,14.59997312
7,2012,7,Callao,0
8,2012,8,Cusco,12.33031661
9,2012,9,Huancavelica,9.62990741
10,2012,10,Huanuco,20.2685006
11,2012,11,Ica,20.71916667
12,2012,12,Junin,12.08815412
13,2012,13,La Libertad,21.18390382
14,2012,14,Lambayeque,21.95583333
15,2012,15,Lima,19.84092294
16,2012,16,Loreto,26.84207125
17,2012,17,Madre de Dios,26.88583333
18,2012,18,Moquegua,19.65833333
19,2012,19,Pasco,4.986220131
20,2012,20,Piura,25.15538232
21,2012,21,Puno,10.45083333
22,2012,22,San Martin,22.83833333
23,2012,23,Tacna,18.21666667
24,2012,24,Tumbes,25.6375
25,2012,25,Ucayali,25.54822138
26,2013,1,Amazonas,15.03166667
27,2013,2,Ancash,12.51333333
28,2013,3,Apurimac,14.10583333
29,2013,4,Arequipa,15.6075
30,2013,5,Ayacucho,18.20166667
31,2013,6,Cajamarca,14.85
32,2013,7,Callao,0
33,2013,8,Cusco,12.32583333
34,2013,9,Huancavelica,10.28416667
35,2013,10,Huanuco,20.68666667
36,2013,11,Ica,21.54916667
37,2013,12,Junin,12.43916667
38,2013,13,La Libertad,19.3175
39,2013,14,Lambayeque,20.19916667
40,2013,15,Lima,18.71333333
41,2013,16,Loreto,27.39083333
42,2013,17,Madre de Dios,26.55222222
43,2013,18,Moquegua,19.29333333
44,2013,19,Pasco,5.308333333
45,2013,20,Piura,23.9175
46,2013,21,Puno,10.2425
47,2013,22,San Martin,22.99833333
48,2013,23,Tacna,17.67333333
49,2013,24,Tumbes,25.0725
50,2013,25,Ucayali,25.58666667
51,2014,1,Amazonas,14.90083333
52,2014,2,Ancash,12.48583333
53,2014,3,Apurimac,14.12428571
54,2014,4,Arequipa,16.12666667
55,2014,5,Ayacucho,18.3775
56,2014,6,Cajamarca,15.02416667
57,2014,7,Callao,0
58,2014,8,Cusco,12.51916667
59,2014,9,Huancavelica,10.34083333
60,2014,10,Huanuco,20.6075
61,2014,11,Ica,21.01
62,2014,12,Junin,12.39166667
63,2014,13,La Libertad,20.965
64,2014,14,Lambayeque,21.66583333
65,2014,15,Lima,19.5375
66,2014,16,Loreto,26.92272727
67,2014,17,Madre de Dios,26.52166667
68,2014,18,Moquegua,19.39583333
69,2014,19,Pasco,5.185833333
70,2014,20,Piura,25.30818182
71,2014,21,Puno,10.5475
72,2014,22,San Martin,22.77833333
73,2014,23,Tacna,17.9825
74,2014,24,Tumbes,25.97083333
75,2014,25,Ucayali,25.48
76,2015,1,Amazonas,15.09833333
77,2015,2,Ancash,12.84909091
78,2015,3,Apurimac,14.46166667
79,2015,4,Arequipa,17.08166667
80,2015,5,Ayacucho,18.25166667
81,2015,6,Cajamarca,15.375
82,2015,7,Callao,0
83,2015,8,Cusco,12.55083333
84,2015,9,Huancavelica,10.40416667
85,2015,10,Huanuco,20.8175
86,2015,11,Ica,21.64583333
87,2015,12,Junin,12.55333333
88,2015,13,La Libertad,22.22916667
89,2015,14,Lambayeque,22.7525
90,2015,15,Lima,20.81272727
91,2015,16,Loreto,27.28333333
92,2015,17,Madre de Dios,27.09083333
93,2015,18,Moquegua,19.938
94,2015,19,Pasco,5.464166667
95,2015,20,Piura,26.06454545
96,2015,21,Puno,10.32333333
97,2015,22,San Martin,22.93
98,2015,23,Tacna,18.845
99,2015,24,Tumbes,27.21083333
100,2015,25,Ucayali,25.96545455
101,2016,1,Amazonas,15.6
102,2016,2,Ancash,13.1
103,2016,3,Apurimac,14.9
104,2016,4,Arequipa,17.3
105,2016,5,Ayacucho,18.8
106,2016,6,Cajamarca,15.6
107,2016,7,Callao,0
108,2016,8,Cusco,13.3
109,2016,9,Huancavelica,10.8
110,2016,10,Huanuco,21.4
111,2016,11,Ica,22.9
112,2016,12,Junin,13
113,2016,13,La Libertad,21.2
114,2016,14,Lambayeque,22.4
115,2016,15,Lima,20.3
116,2016,16,Loreto,27.5
117,2016,17,Madre de Dios,27
118,2016,18,Moquegua,…
119,2016,19,Pasco,6
120,2016,20,Piura,26
121,2016,21,Puno,10.9
122,2016,22,San Martin,23.6
123,2016,23,Tacna,18.8
124,2016,24,Tumbes,26.9
125,2016,25,Ucayali,26
126,2017,1,Amazonas,15.16
127,2017,2,Ancash,12.30083333
128,2017,3,Apurimac,14.28416667
129,2017,4,Arequipa,16.58833333
130,2017,5,Ayacucho,18.13888889
131,2017,6,Cajamarca,15.04416667
132,2017,7,Callao,0
133,2017,8,Cusco,13.04416667
134,2017,9,Huancavelica,10.36
135,2017,10,Huanuco,20.9125
136,2017,11,Ica,22.70583333
137,2017,12,Junin,12.75916667
138,2017,13,La Libertad,20.87636364
139,2017,14,Lambayeque,22.01666667
140,2017,15,Lima,20.07416667
141,2017,16,Loreto,27.525
142,2017,17,Madre de Dios,26.9775
143,2017,18,Moquegua,…
144,2017,19,Pasco,5.514444444
145,2017,20,Piura,24.95909091
146,2017,21,Puno,10.5625
147,2017,22,San Martin,23.06416667
148,2017,23,Tacna,18.492
149,2017,24,Tumbes,25.799
150,2017,25,Ucayali,25.9025
151,2018,1,Amazonas,14.85
152,2018,2,Ancash,12.03333333
153,2018,3,Apurimac,14.2
154,2018,4,Arequipa,16.61666667
155,2018,5,Ayacucho,17.08333333
156,2018,6,Cajamarca,14.86666667
157,2018,7,Callao,0
158,2018,8,Cusco,12.59166667
159,2018,9,Huancavelica,10.35
160,2018,10,Huanuco,20.24166667
161,2018,11,Ica,22.36666667
162,2018,12,Junin,12.34166667
163,2018,13,La Libertad,20.025
164,2018,14,Lambayeque,20.925
165,2018,15,Lima,19.475
166,2018,16,Loreto,27.20833333
167,2018,17,Madre de Dios,26.225
168,2018,18,Moquegua,20.075
169,2018,19,Pasco,5.166666667
170,2018,20,Piura,24.95
171,2018,21,Puno,10.39166667
172,2018,22,San Martin,22.75
173,2018,23,Tacna,18.475
174,2018,24,Tumbes,25.95833333
175,2018,25,Ucayali,25.54166667
176,2019,1,Amazonas,15.01666667
177,2019,2,Ancash,12.45
178,2019,3,Apurimac,14.55
179,2019,4,Arequipa,16.95833333
180,2019,5,Ayacucho,16.98
181,2019,6,Cajamarca,14.95833333
182,2019,7,Callao,0
183,2019,8,Cusco,12.89166667
184,2019,9,Huancavelica,10.73333333
185,2019,10,Huanuco,20.44166667
186,2019,11,Ica,22.11666667
187,2019,12,Junin,12.34545455
188,2019,13,La Libertad,20.61666667
189,2019,14,Lambayeque,21.45
190,2019,15,Lima,19.575
191,2019,16,Loreto,27.35
192,2019,17,Madre de Dios,26.625
193,2019,18,Moquegua,20.025
194,2019,19,Pasco,5.458333333
195,2019,20,Piura,25.38333333
196,2019,21,Puno,10.71666667
197,2019,22,San Martin,22.95
198,2019,23,Tacna,18.21666667
199,2019,24,Tumbes,26.29166667
200,2019,25,Ucayali,25.73333333
201,2020,1,Amazonas,15.34166667
202,2020,2,Ancash,…
203,2020,3,Apurimac,…
204,2020,4,Arequipa,…
205,2020,5,Ayacucho,18.19
206,2020,6,Cajamarca,15.45555556
207,2020,7,Callao,0
208,2020,8,Cusco,14.01
209,2020,9,Huancavelica,11.07142857
210,2020,10,Huanuco,21.07777778
211,2020,11,Ica,22.67142857
212,2020,12,Junin,13.25
213,2020,13,La Libertad,20.16666667
214,2020,14,Lambayeque,20.81111111
215,2020,15,Lima,…
216,2020,16,Loreto,27.63333333
217,2020,17,Madre de Dios,27.54
218,2020,18,Moquegua,…
219,2020,19,Pasco,…
220,2020,20,Piura,…
221,2020,21,Puno,…
222,2020,22,San Martin,…
223,2020,23,Tacna,18.82222222
224,2020,24,Tumbes,…
225,2020,25,Ucayali,…
226,2021,1,Amazonas,14.99166667
227,2021,2,Ancash,11.15982137
228,2021,3,Apurimac,13.5793164
229,2021,4,Arequipa,16.24166667
230,2021,5,Ayacucho,17.44166667
231,2021,6,Cajamarca,14.90833333
232,2021,7,Callao,0
233,2021,8,Cusco,14.04
234,2021,9,Huancavelica,10.29166667
235,2021,10,Huanuco,20.825
236,2021,11,Ica,22.04
237,2021,12,Junin,12.68333333
238,2021,13,La Libertad,19.70833333
239,2021,14,Lambayeque,20.51666667
240,2021,15,Lima,18.47743939
241,2021,16,Loreto,27.49166667
242,2021,17,Madre de Dios,26.54545455
243,2021,18,Moquegua,18.60832098
244,2021,19,Pasco,…
245,2021,20,Piura,23.775
246,2021,21,Puno,9.67736485
247,2021,22,San Martin,23.06
248,2021,23,Tacna,17.75833333
249,2021,24,Tumbes,24.50833333
250,2021,25,Ucayali,25.68333333
251,2022,1,Amazonas,15
252,2022,2,Ancash,11.1
253,2022,3,Apurimac,15.6
254,2022,4,Arequipa,16
255,2022,5,Ayacucho,17.7
256,2022,6,Cajamarca,14.8
257,2022,7,Callao,0
258,2022,8,Cusco,12.5
259,2022,9,Huancavelica,10.7
260,2022,10,Huanuco,20.9
261,2022,11,Ica,20.8
262,2022,12,Junin,12.5
263,2022,13,La Libertad,18.8
264,2022,14,Lambayeque,19.8
265,2022,15,Lima,18
266,2022,16,Loreto,27.3
267,2022,17,Madre de Dios,26.1
268,2022,18,Moquegua,19.4
269,2022,19,Pasco,5.4
270,2022,20,Piura,22.5
271,2022,21,Puno,9.7
272,2022,22,San Martin,23.3
273,2022,23,Tacna,17.5
274,2022,24,Tumbes,24.2
275,2022,25,Ucayali,26.1
