index,year,natural_region_id,natural_region,activity_id_temperature,temperature_celsius,activity_id_humidity,avg_humidity,activity_rain,rain_mlm
1,1996,0.1,Coast,1,21.1,2,79,rain_mlm,22.6
2,1996,0.3,Rainforest,1,26.5,2,93.7,rain_mlm,1423.7
3,1996,0.2,Highland,1,12.2,2,50.9,rain_mlm,599.8
4,1997,0.1,Coast,1,24.2,2,76.9,rain_mlm,200.1
5,1997,0.3,Rainforest,1,26.6,2,92.8,rain_mlm,2735.9
6,1997,0.2,Highland,1,12.4,2,52.3,rain_mlm,654
7,1998,0.1,Coast,1,23.1,2,79.9,rain_mlm,696.3
8,1998,0.3,Rainforest,1,26.8,2,90.8,rain_mlm,2278.9
9,1998,0.2,Highland,1,12.9,2,53.2,rain_mlm,726.2
10,1999,0.1,Coast,1,21.4,2,80.4,rain_mlm,99.9
11,1999,0.3,Rainforest,1,26.1,2,88.1,rain_mlm,2411.1
12,1999,0.2,Highland,1,11.7,2,64.3,rain_mlm,713.8
13,2000,0.3,Rainforest,1,26.2,2,86.8,rain_mlm,2616.5
14,2000,0.2,Highland,1,12,2,60.9,rain_mlm,678.7
15,2000,0.1,Coast,1,21.7,2,79.6,rain_mlm,43.7
16,2001,0.2,Highland,1,10.5,2,52,rain_mlm,568.1
17,2001,0.1,Coast,1,21.4,2,81.5,rain_mlm,84.9
18,2001,0.3,Rainforest,1,25.9,2,86,rain_mlm,2082.7
19,2002,0.2,Highland,1,11.5,2,64,rain_mlm,734.3
20,2002,0.1,Coast,1,20.8,2,82.4,rain_mlm,94.1
21,2002,0.3,Rainforest,1,26.7,2,87.9,rain_mlm,2554.1
22,2003,0.2,Highland,1,12.4,2,65.9,rain_mlm,725.8
23,2003,0.3,Rainforest,1,25.4,2,86.4,rain_mlm,2227.1
24,2003,0.1,Coast,1,21.1,2,78.9,rain_mlm,25
25,2004,0.3,Rainforest,1,22.9,2,82.1,rain_mlm,1484.1
26,2004,0.2,Highland,1,12.4,2,68.1,rain_mlm,659.9
27,2004,0.1,Coast,1,20.7,2,77.3,rain_mlm,25.7
28,2005,0.3,Rainforest,1,23.2,2,81.1,rain_mlm,1364.2
29,2005,0.2,Highland,1,13.5,2,68.2,rain_mlm,585.7
30,2005,0.1,Coast,1,20.1,2,76.4,rain_mlm,26.3
31,2006,0.2,Highland,1,12.7,2,70.6,rain_mlm,709.3
32,2006,0.1,Coast,1,21.4,2,77.3,rain_mlm,57.8
33,2006,0.3,Rainforest,1,24.7,2,81.9,rain_mlm,1681.2
34,2007,0.1,Coast,1,20.3,2,80,rain_mlm,27
35,2007,0.3,Rainforest,1,23.1,2,81.8,rain_mlm,1516.7
36,2007,0.2,Highland,1,12.7,2,72.7,rain_mlm,649.7
37,2008,0.1,Coast,1,21.4,2,77,rain_mlm,46.3
38,2008,0.3,Rainforest,1,23.1,2,79,rain_mlm,1463.9
39,2008,0.2,Highland,1,12.6,2,69,rain_mlm,570
40,2009,0.3,Rainforest,1,22.87763889,2,81.76074074,rain_mlm,1747.35
41,2009,0.2,Highland,1,13.00366667,2,73.07666667,rain_mlm,775.6411111
42,2009,0.1,Coast,1,21.4225,2,80.23520833,rain_mlm,55.8875
43,2010,0.2,Highland,1,13.2045,2,71.23558333,rain_mlm,667.71
44,2010,0.1,Coast,1,20.87286458,2,81.02145833,rain_mlm,75.6625
45,2010,0.3,Rainforest,1,22.69208333,2,78.97533333,rain_mlm,1156.02
46,2011,0.2,Highland,1,12.36942593,2,72.75221296,rain_mlm,834.3111111
47,2011,0.1,Coast,1,21.12322917,2,79.33036458,rain_mlm,30.4375
48,2011,0.3,Rainforest,1,22.70561111,2,80.16547222,rain_mlm,1586.556667
49,2012,0.2,Highland,1,12.36337549,2,71.6798393,rain_mlm,809.8622222
50,2012,0.1,Coast,1,21.54596364,2,76.92726513,rain_mlm,74.20375
51,2012,0.3,Rainforest,1,22.84771554,2,80.97375797,rain_mlm,1571.358333
52,2013,0.1,Coast,1,20.1,2,78.9,rain_mlm,47.3
53,2013,0.3,Rainforest,1,23,2,82.3,rain_mlm,1715.6
54,2013,0.2,Highland,1,12.6,2,73.1,rain_mlm,800.8
55,2014,0.3,Rainforest,1,22.8685101,2,82.40602273,rain_mlm,1605.38
56,2014,0.2,Highland,1,12.71234524,2,70.82178571,rain_mlm,692.5425
57,2014,0.1,Coast,1,21.47946023,2,79.75405303,rain_mlm,22.3
58,2015,0.3,Rainforest,1,23.19771465,2,83.4835,rain_mlm,1790.883333
59,2015,0.2,Highland,1,12.93149242,2,71.43931818,rain_mlm,824.7625
60,2015,0.1,Coast,1,22.43982576,2,78.03716477,rain_mlm,99.38333333
61,2016,0.3,Rainforest,1,23.50277778,2,81.6569697,rain_mlm,1540.318333
62,2016,0.1,Coast,1,22.6487013,2,78.03975108,rain_mlm,92.2
63,2016,0.2,Highland,1,13.37575,2,69.39825,rain_mlm,573.2
64,2017,0.1,Coast,1,22.13187446,2,79.74810606,rain_mlm,174.1428571
65,2017,0.3,Rainforest,1,23.25694444,2,82.70652778,rain_mlm,1700.033333
66,2017,0.2,Highland,1,12.85966667,2,69.10166667,rain_mlm,828.4
67,2018,0.1,Coast,1,21.73928571,2,80.07738095,rain_mlm,36.31428571
68,2018,0.3,Rainforest,1,23.315,2,86.82333333,rain_mlm,1917.64
69,2018,0.2,Highland,1,13.82986111,2,68.92986111,rain_mlm,704.3166667
70,2019,0.3,Rainforest,1,25.66458333,2,0,rain_mlm,2093.02
71,2019,0.2,Highland,1,14.01963384,2,0,rain_mlm,787.1516667
72,2019,0.1,Coast,1,21.95,2,0,rain_mlm,62
73,2020,0.1,Coast,1,0,2,0,rain_mlm,0
74,2020,0.3,Rainforest,1,0,2,0,rain_mlm,0
75,2020,0.2,Highland,1,0,2,0,rain_mlm,0
76,2021,0.3,Rainforest,1,23.51083333,2,0,rain_mlm,0
77,2021,0.2,Highland,1,14.39745961,2,0,rain_mlm,0
78,2021,0.1,Coast,1,20.94021927,2,0,rain_mlm,0
79,2022,0.2,Highland,1,13.8,2,0,rain_mlm,0
80,2022,0.1,Coast,1,20.1,2,0,rain_mlm,0
81,2022,0.3,Rainforest,1,23.6,2,0,rain_mlm,0
